Indfaldsvinkel,Sin(i),Brydningsvinkel,Sin(b),Sin(i)/Sin(b)
5,0.0871557427476582,3,0.0523359562429438,1.66531289393244
10,0.17364817766693,6.5,0.113203213767907,1.53395095322073
15,0.258819045102521,10,0.17364817766693,1.49047947741182
20,0.342020143325669,13,0.224951054343865,1.52042027241557
25,0.422618261740699,16.5,0.284015344703923,1.48801207266201
30,0.5,20,0.342020143325669,1.46190220008154
35,0.573576436351046,22.5,0.38268343236509,1.4988274585241
40,0.642787609686539,25,0.422618261740699,1.5209650596711
45,0.707106781186548,28,0.469471562785891,1.50617595875351
50,0.766044443118978,31,0.515038074910054,1.48735497516909
55,0.819152044288992,34,0.559192903470747,1.46488276085901
60,0.866025403784439,35,0.573576436351046,1.50986921515445
65,0.90630778703665,37,0.601815023152048,1.50595739915198
70,0.939692620785908,39,0.629320391049838,1.49318635491582
75,0.965925826289068,40,0.642787609686539,1.50271382293774
80,0.984807753012208,42,0.669130606358858,1.4717720930016
85,0.996194698091746,43,0.681998360062499,1.46069955065648
